lrp,lat,lon,length,condition,structureNr,chainage,what,Delay
LRPS,23.7060278,90.443333,,,,0.0,startpoint,0
LRPSa,23.7029167,90.4504167,,,,0.8140000000000001,roadpoint,0
LRPSb,23.702777800000003,90.45047220000001,,,,0.8220000000000001,roadpoint,0
LRP001,23.702138899999998,90.4519722,,,,1.0,roadpoint,0
LRP002,23.697888600000002,90.4605833,,,,2.0,roadpoint,0
LRP002a,23.697360800000002,90.4616667,,,,2.13,roadpoint,0
LRP003,23.693832999999998,90.4691382,,,,3.0,roadpoint,0
LRP004,23.693610800000002,90.4787771,,,,4.0,roadpoint,0
LRP004a,23.6938052,90.48052709999999,,,,4.175,roadpoint,0
LRP005,23.6947497,90.48849969999999,,,,5.0,roadpoint,0
LRP006,23.6959163,90.49819409999999,,,,6.0,roadpoint,0
LRP007,23.697333,90.50775,,,,7.0,roadpoint,0
LRP007a,23.6979163,90.50927779999999,,,,7.181,roadpoint,0
LRP008,23.7020556,90.51572220000001,,,,8.0,roadpoint,0
LRP008a,23.7021111,90.5157778,,,,8.011000000000001,roadpoint,0
LRP009,23.705027800000003,90.5193327,,,,8.503,roadpoint,0
LRP009a,23.706083300000003,90.5215271,,,,8.763,roadpoint,0
LRP010,23.702527800000002,90.5273882,,,,9.503,roadpoint,0
LRP010a,23.7015278,90.5281938,,,,9.615,roadpoint,0
LRP010b,23.6943906141361,90.5375740774869,6.3,A,112531.0,10.88,bridge,"Random.Uniform(10,20)"
LRP010c,23.6943023869158,90.5377073719626,6.3,A,112532.0,10.897,bridge,"Random.Uniform(10,20)"
LRP011,23.696638600000004,90.53480520000001,,,,10.503,roadpoint,0
LRP011a,23.6923601518691,90.5409183897196,8.3,A,101110.0,11.296,bridge,"Random.Uniform(10,20)"
LRP011b,23.6922774,90.5410552,,,,11.312999999999999,roadpoint,0
LRP011c,23.6909119315151,90.5454624957575,10.6,B,101114.0,11.808,bridge,"Random.Uniform(15,60)"
LRP012,23.6918052,90.5426108,,,,11.497,roadpoint,0
LRP012a,23.6884123260204,90.5485585290816,9.3,A,101117.0,12.239,bridge,"Random.Uniform(10,20)"
LRP012b,23.6883197331632,90.548649807653,6.1,A,101119.0,12.253,bridge,"Random.Uniform(10,20)"
LRP012c,23.6904163,90.546583,,,,11.936,roadpoint,0
LRP013,23.6865274,90.5504167,,,,12.524000000000001,roadpoint,0
LRP013a,23.685583027027,90.551207981081,27.5,A,119897.0,12.66,bridge,"Random.Uniform(15,60)"
LRP014,23.678166,90.5556111,,,,13.524000000000001,roadpoint,0
LRP014a,23.6778035,90.5558194349999,11.9,A,109794.0,13.574,bridge,"Random.Uniform(15,60)"
LRP015,23.670916000000002,90.55977779999999,,,,14.524000000000001,roadpoint,0
LRP015a,23.6705827,90.5599722,,,,14.562999999999999,roadpoint,0
LRP016,23.662833300000003,90.56411109999999,,,,15.524000000000001,roadpoint,0
LRP016a,23.6633090696149,90.563856994797,5.55,B,109800.0,15.465,bridge,"Random.Uniform(10,20)"
LRP016b,23.6591111,90.5697216,,,,16.242,roadpoint,0
LRP016c,23.658305600000002,90.5709993,,,,16.402,roadpoint,0
LRP017,23.6575,90.57197159999998,,,,16.524,roadpoint,0
LRP017a,23.655972199999997,90.5743327,,,,16.831,roadpoint,0
LRP017b,23.6544257051136,90.576730225,159.5,B,109808.0,17.134,bridge,"Random.Uniform(45,90)"
LRP017b,23.6544257051136,90.576730225,159.52,C,119909.0,17.134,bridge,"Random.Uniform(45,90)"
LRP017c,23.6540556,90.57727709999999,,,,17.204,roadpoint,0
LRP017d,23.6539167,90.5774993,,,,17.234,roadpoint,0
LRP018,23.6525278,90.5798882,,,,17.524,roadpoint,0
LRP018a,23.6515705663716,90.5814943946902,20.0,B,109847.0,17.722,bridge,"Random.Uniform(15,60)"
LRP018b,23.65397226,90.57741042,20.45,A,119926.0,17.222,bridge,"Random.Uniform(15,60)"
LRP018c,23.6497543993548,90.5845490085483,25.5,A,119933.0,18.093,bridge,"Random.Uniform(15,60)"
LRP018c,23.6497543993548,90.5845490085483,24.5,B,109797.0,18.093,bridge,"Random.Uniform(15,60)"
LRP019,23.647610800000002,90.588083,,,,18.524,roadpoint,0
LRP019a,23.6459685949152,90.5892119813559,40.5,C,109819.0,18.742,bridge,"Random.Uniform(15,60)"
LRP019a,23.6459685949152,90.5892119813559,40.5,B,109810.0,18.742,bridge,"Random.Uniform(15,60)"
LRP019b,23.6397497,90.5926941,,,,19.521,roadpoint,0
LRP020,23.639694100000003,90.5927219,,,,19.524,roadpoint,0
LRP020a,23.6379543715384,90.5936673976923,6.0,A,109817.0,19.76,bridge,"Random.Uniform(10,20)"
LRP020b,23.63380522,90.597394085,10.4,B,109827.0,20.397,bridge,"Random.Uniform(15,60)"
LRP020c,23.6335552,90.5976941,,,,20.442,roadpoint,0
LRP021,23.6330549,90.59827740000001,,,,20.524,roadpoint,0
LRP021a,23.6262771,90.60422220000001,,,,21.499000000000002,roadpoint,0
LRP021c,23.6284668507692,90.6023015723077,86.92,A,119944.0,21.184,bridge,"Random.Uniform(45,90)"
LRP022,23.625221600000003,90.6049722,,,,21.629,roadpoint,0
LRP022a,23.6198832229508,90.6083528852459,5.5,B,101112.0,22.328,bridge,"Random.Uniform(10,20)"
LRP022b,23.6224993,90.6066944,,,,21.993000000000002,roadpoint,0
LRP022c,23.620471600000002,90.6079722,,,,22.252,roadpoint,0
LRP022d,23.6195271,90.60858329999999,,,,22.374000000000002,roadpoint,0
LRP023,23.6173604,90.6096944,,,,22.629,roadpoint,0
LRP023a,23.6176407964705,90.6095506105882,224.8,A,109820.0,22.596,bridge,"Random.Triangular(60,120,240)"
LRP023a,23.6176407964705,90.6095506105882,213.5,B,109807.0,22.596,bridge,"Random.Triangular(60,120,240)"
LRP023c,23.613587384385,90.6109029561497,116.8,B,109802.0,23.081,bridge,"Random.Uniform(45,90)"
