road,id,model_type,name,lat,lon,length,condition
N1,0,link,Km post missing,23.702138899999998,90.4519722,1000.0,
N1,1,bridge,.,23.69873866,90.4588610799999,11.3,A
N1,2,link,Km post missing,23.697888600000002,90.4605833,129.9999999999999,
N1,3,link,Box culvert,23.697360800000002,90.4616667,870.0000000000001,
N1,4,link,Km post missing,23.693832999999998,90.4691382,1000.0,
N1,5,link,Km post missing,23.693610800000002,90.4787771,174.99999999999983,
N1,6,link,Road to Narayanganj(R111),23.6938052,90.48052709999999,825.0000000000002,
N1,7,bridge,.,23.6946638363636,90.4877749181818,6.6,A
N1,8,link,Km post missing,23.6947497,90.48849969999999,1000.0,
N1,9,link,Km post missing,23.6959163,90.49819409999999,1000.0,
N1,10,link,Km post missing,23.697333,90.50775,181.00000000000006,
N1,11,link,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.50927779999999,819.0,
N1,12,link,Km post missing,23.7020556,90.51572220000001,11.000000000001009,
N1,13,link,Kachpur bridge,23.7021111,90.5157778,417.99999999999926,
N1,14,link,Bridge end,23.704583300000003,90.5188327,73.99999999999984,
N1,15,bridge,Kanch pur Bridge.,23.7050598925675,90.5232141463513,394.23,A
N1,16,bridge,KANCHPUR PC GIRDER BRIDGE,23.7050598925675,90.5232141463513,397.0,C
N1,17,link,"Chittagong 251 km,Comilla 84 km",23.705027800000003,90.5193327,259.9999999999998,
N1,18,link,Road to Sylhet (N2),23.706083300000003,90.5215271,740.0000000000002,
N1,19,link,Km post missing,23.702527800000002,90.5273882,112.0000000000001,
N1,20,bridge,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,8.0,B
N1,21,link,Box culvert,23.7015278,90.5281938,347.999999999999,
N1,22,bridge,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,6.3,A
N1,23,link,Box culvert,23.6998608,90.53072159999999,414.0000000000015,
N1,24,link,Box culvert,23.6974163,90.5337774,125.99999999999945,
N1,25,bridge,ADUPUR CULVERT,23.6943023869158,90.5377073719626,6.3,A
N1,26,link,Km post missing,23.696638600000004,90.53480520000001,381.99999999999966,
N1,27,link,Box culvert,23.694360800000002,90.5376108,427.99999999999903,
N1,28,bridge,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,8.3,A
N1,29,link,Box culvert,23.6922774,90.5410552,184.00000000000105,
N1,30,bridge,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,10.6,B
N1,31,link,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,247.99999999999932,
N1,32,link,Bridge start,23.6911108,90.5448886,25.9999999999998,
N1,33,bridge,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,9.3,A
N1,34,bridge,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,6.1,A
N1,35,link,Bridge end,23.6910552,90.54513859999999,165.0000000000009,
N1,36,link,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,588.0000000000009,
N1,37,link,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,147.9999999999997,
N1,38,bridge,Madanpur Bridge.(L),23.685583027027,90.551207981081,27.5,A
N1,39,bridge,MADANPUR BRIDGE(L),23.685583027027,90.551207981081,26.3,A
N1,40,link,Box culvert,23.6854997,90.5512778,852.0000000000003,
N1,41,link,Km post missing,23.678166,90.5556111,1000.0,
N1,42,bridge,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9,A
N1,43,link,Km post missing,23.670916000000002,90.55977779999999,38.999999999997925,
N1,44,link,Box culvert,23.6705827,90.5599722,961.000000000002,
N1,45,link,Km post missing,23.662833300000003,90.56411109999999,410.9999999999996,
N1,46,link,Road to MinanbariZ1061),23.6604167,90.5671104,307.0000000000004,
N1,47,bridge,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55,B
N1,48,link,Langalbandhu bridge,23.6591111,90.5697216,160.00000000000014,
N1,49,link,Bridge end,23.658305600000002,90.5709993,121.99999999999989,
N1,50,link,Km post missing,23.6575,90.57197159999998,306.99999999999864,
N1,51,link,Bridge start,23.655972199999997,90.5743327,21.000000000000796,
N1,52,link,Bridge end,23.6559167,90.5745271,352.00000000000034,
N1,53,bridge,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52,C
N1,54,bridge,LANGOLBANDO PC GIDER BRIDGE,23.6544257051136,90.576730225,159.5,B
N1,55,link,Bridge start,23.6540556,90.57727709999999,30.000000000001137,
N1,56,link,Bridge end,23.6539167,90.5774993,289.99999999999915,
N1,57,link,Km post missing,23.6525278,90.5798882,338.99999999999864,
