road,id,model_type,condition,name,lat,lon,length,type
N1,0,SourceSink,,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,814.0,Others
N1,1,Link,,Box Culvert,23.7029167,90.4504167,8.0,Culvert
N1,2,Link,,Intersection with Z1101,23.7027778,90.4504722,178.0,CrossRoad
N1,3,Link,,Km post missing,23.7021389,90.4519722,1000.0,KmPost
N1,4,Bridge,A,.,23.69873866,90.45886108,11.3,Box Culvert
N1,5,Link,,Km post missing,23.6978886,90.4605833,130.0,KmPost
N1,6,Link,,Box culvert,23.6973608,90.4616667,870.0,Culvert
N1,7,Link,,Km post missing,23.693833,90.4691382,1000.0,KmPost
N1,8,Link,,Km post missing,23.6936108,90.4787771,175.0,KmPost
N1,9,Link,,Road to Narayanganj(R111),23.6938052,90.4805271,825.0,"SideRoad,Right"
N1,10,Bridge,A,.,23.69466384,90.48777492,6.6,Box Culvert
N1,11,Link,,Km post missing,23.6947497,90.4884997,1000.0,KmPost
N1,12,Link,,Km post missing,23.6959163,90.4981941,1000.0,KmPost
N1,13,Link,,Km post missing,23.697333,90.50775,181.0,KmPost
N1,14,Link,,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.5092778,819.0,CrossRoad
N1,15,Link,,Km post missing,23.7020556,90.5157222,11.0,KmPost
N1,16,Link,,Kachpur bridge,23.7021111,90.5157778,418.0,Bridge
N1,17,Bridge,C,KANCHPUR PC GIRDER BRIDGE,23.70505989,90.52321415,397.0,PC Girder Bridge
N1,18,Link,,Bridge end,23.7045833,90.5188327,74.0,Bridge
N1,19,Link,,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,260.0,KmPost
N1,20,Intersection,,Road to Sylhet (N2),23.7060833,90.5215271,740.0,"SideRoad,Left"
N1,21,Link,,Km post missing,23.7025278,90.5273882,112.0,KmPost
N1,22,Link,,Box culvert,23.7015278,90.5281938,348.0,Culvert
N1,23,Bridge,B,KATCHPUR BOX CULVERT,23.69640009,90.53509898,8.0,Box Culvert
N1,24,Bridge,A,NOYAPARA CULVERT,23.69439061,90.53757408,6.3,Box Culvert
N1,25,Link,,Box culvert,23.6998608,90.5307216,414.0,Culvert
N1,26,Bridge,A,ADUPUR CULVERT,23.69430239,90.53770737,6.3,Box Culvert
N1,27,Link,,Box culvert,23.6974163,90.5337774,126.0,Culvert
N1,28,Link,,Km post missing,23.6966386,90.5348052,382.0,KmPost
N1,29,Link,,Box culvert,23.6943608,90.5376108,428.0,Culvert
N1,30,Bridge,A,NAYABARI KASPUR BOX CULVERT,23.69236015,90.54091839,8.3,Box Culvert
N1,31,Link,,Box culvert,23.6922774,90.5410552,184.0,Culvert
N1,32,Bridge,B,NAYABARI BOX CULVERT,23.69091193,90.5454625,10.6,Box Culvert
N1,33,Link,,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,248.0,KmPost
N1,34,Link,,Bridge start,23.6911108,90.5448886,26.0,Bridge
N1,35,Bridge,A,KHAS PARA BOX CULVERT,23.68841233,90.54855853,9.3,Box Culvert
N1,36,Link,,Bridge end,23.6910552,90.5451386,165.0,Bridge
N1,37,Bridge,A,DAWAN BAG BOX CULVERT,23.68831973,90.54864981,6.1,Box Culvert
N1,38,Intersection,,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,588.0,"SideRoad,Right"
N1,39,Link,,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,148.0,KmPost
N1,40,Bridge,A,Madanpur Bridge.(L),23.68558303,90.55120798,27.5,PC Girder Bridge
N1,41,Link,,Box culvert,23.6854997,90.5512778,852.0,Culvert
