road,lrp,model_type,name,lat,lon,length,type,condition
N1,LRPS,SourceSink,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,814.0,Others,
N1,LRPSa,Link,Box Culvert,23.7029167,90.4504167,8.000000000000007,Culvert,
N1,LRPSb,Link,Intersection with Z1101,23.702777800000003,90.45047220000001,177.99999999999994,CrossRoad,
N1,LRP001,Link,Km post missing,23.702138899999998,90.4519722,1000.0,KmPost,
N1,LRP001a,Bridge,.,23.69873866,90.4588610799999,11.3,Box Culvert,A
N1,LRP002,Link,Km post missing,23.697888600000002,90.4605833,129.9999999999999,KmPost,
N1,LRP002a,Link,Box culvert,23.697360800000002,90.4616667,870.0000000000001,Culvert,
N1,LRP003,Link,Km post missing,23.693832999999998,90.4691382,1000.0,KmPost,
N1,LRP004,Link,Km post missing,23.693610800000002,90.4787771,174.99999999999983,KmPost,
N1,LRP004a,Link,Road to Narayanganj(R111),23.6938052,90.48052709999999,825.0000000000002,"SideRoad,Right",
N1,LRP004b,Bridge,.,23.6946638363636,90.4877749181818,6.6,Box Culvert,A
N1,LRP005,Link,Km post missing,23.6947497,90.48849969999999,1000.0,KmPost,
N1,LRP006,Link,Km post missing,23.6959163,90.49819409999999,1000.0,KmPost,
N1,LRP007,Link,Km post missing,23.697333,90.50775,181.00000000000006,KmPost,
N1,LRP007a,Link,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.50927779999999,819.0,CrossRoad,
N1,LRP008,Link,Km post missing,23.7020556,90.51572220000001,11.000000000001009,KmPost,
N1,LRP008a,Link,Kachpur bridge,23.7021111,90.5157778,417.99999999999926,Bridge,
N1,LRP008b,Bridge,KANCHPUR PC GIRDER BRIDGE,23.7050598925675,90.5232141463513,397.0,PC Girder Bridge,C
N1,LRP008b,Link,Bridge end,23.704583300000003,90.5188327,73.99999999999984,Bridge,
N1,LRP009,Link,"Chittagong 251 km,Comilla 84 km",23.705027800000003,90.5193327,259.9999999999998,KmPost,
N1,LRP009a,Link,Road to Sylhet (N2),23.706083300000003,90.5215271,740.0000000000002,"SideRoad,Left",
N1,LRP010,Link,Km post missing,23.702527800000002,90.5273882,112.0000000000001,KmPost,
N1,LRP010a,Link,Box culvert,23.7015278,90.5281938,347.999999999999,Culvert,
N1,LRP010a,Bridge,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,8.0,Box Culvert,B
N1,LRP010b,Bridge,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,6.3,Box Culvert,A
N1,LRP010b,Link,Box culvert,23.6998608,90.53072159999999,414.0000000000015,Culvert,
N1,LRP010c,Bridge,ADUPUR CULVERT,23.6943023869158,90.5377073719626,6.3,Box Culvert,A
N1,LRP010c,Link,Box culvert,23.6974163,90.5337774,125.99999999999945,Culvert,
N1,LRP011,Link,Km post missing,23.696638600000004,90.53480520000001,381.99999999999966,KmPost,
N1,LRP011a,Link,Box culvert,23.694360800000002,90.5376108,427.99999999999903,Culvert,
N1,LRP011a,Bridge,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,8.3,Box Culvert,A
N1,LRP011b,Link,Box culvert,23.6922774,90.5410552,184.00000000000105,Culvert,
N1,LRP011c,Bridge,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,10.6,Box Culvert,B
N1,LRP012,Link,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,247.99999999999932,KmPost,
N1,LRP012a,Link,Bridge start,23.6911108,90.5448886,25.9999999999998,Bridge,
N1,LRP012a,Bridge,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,9.3,Box Culvert,A
N1,LRP012b,Link,Bridge end,23.6910552,90.54513859999999,165.0000000000009,Bridge,
N1,LRP012b,Bridge,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,6.1,Box Culvert,A
N1,LRP012c,Link,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,588.0000000000009,"SideRoad,Right",
N1,LRP013,Link,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,147.9999999999997,KmPost,
N1,LRP013a,Bridge,Madanpur Bridge.(L),23.685583027027,90.551207981081,27.5,PC Girder Bridge,A
N1,LRP013a,Link,Box culvert,23.6854997,90.5512778,852.0000000000003,Culvert,
N1,LRP013b,Bridge,Madanpur Bridge(R),23.6853619779342,90.5513591765258,27.5,PC Girder Bridge,A
N1,LRP014,Link,Km post missing,23.678166,90.5556111,1000.0,KmPost,
N1,LRP014a,Bridge,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9,Box Culvert,A
N1,LRP015,Link,Km post missing,23.670916000000002,90.55977779999999,38.999999999997925,KmPost,
N1,LRP015a,Link,Box culvert,23.6705827,90.5599722,961.000000000002,Culvert,
N1,LRP016,Link,Km post missing,23.662833300000003,90.56411109999999,410.9999999999996,KmPost,
N1,LRP016a,Link,Road to MinanbariZ1061),23.6604167,90.5671104,307.0000000000004,"SideRoad,Right",
N1,LRP016a,Bridge,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55,Box Culvert,B
N1,LRP016b,Link,Langalbandhu bridge,23.6591111,90.5697216,160.00000000000014,Bridge,
N1,LRP016c,Link,Bridge end,23.658305600000002,90.5709993,121.99999999999989,Bridge,
N1,LRP017,Link,Km post missing,23.6575,90.57197159999998,306.99999999999864,KmPost,
N1,LRP017a,Link,Bridge start,23.655972199999997,90.5743327,21.000000000000796,Bridge,
N1,LRP017b,Link,Bridge end,23.6559167,90.5745271,352.00000000000034,Bridge,
N1,LRP017b,Bridge,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52,RCC Girder Bridge,C
N1,LRP017c,Link,Bridge start,23.6540556,90.57727709999999,30.000000000001137,Bridge,
N1,LRP017d,Link,Bridge end,23.6539167,90.5774993,289.99999999999915,Bridge,
N1,LRP018,Link,Km post missing,23.6525278,90.5798882,338.99999999999864,KmPost,
N1,LRP018a,Link,Bridge start,23.650888899999998,90.5826382,41.00000000000037,Bridge,
N1,LRP018a,Bridge,DARIKANDI BRIDGE (R),23.6515705663716,90.5814943946902,20.0,PC Girder Bridge,B
N1,LRP018a,Bridge,Darikandi Bridge (L),23.65397226,90.57741042,20.5,PC Girder Bridge,A
N1,LRP018b,Link,Bridge end,23.6506944,90.5829993,620.000000000001,Bridge,
N1,LRP018c,Bridge,SONARKALI BRIDGE(L),23.6497543993548,90.5845490085483,24.5,PC Girder Bridge,B
N1,LRP019,Link,Km post missing,23.647610800000002,90.588083,353.9999999999992,KmPost,
N1,LRP019a,Bridge,Mollik para Bridge(L),23.6459685949152,90.5892119813559,40.4,PC Girder Bridge,B
N1,LRP019a,Link,Box culvert,23.644944100000004,90.5899163,643.0000000000007,Culvert,
N1,LRP019b,Link,Box culvert,23.6397497,90.5926941,3.0000000000001137,Culvert,
N1,LRP020,Link,Km post missing,23.639694100000003,90.5927219,519.9999999999995,KmPost,
N1,LRP020a,Link,Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),23.6358608,90.5948052,297.9999999999983,"SideRoad,Left",
N1,LRP020a,Bridge,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,6.0,Box Culvert,A
N1,LRP020b,Link,Bridge start,23.634110800000002,90.59702740000002,100.00000000000142,Bridge,
N1,LRP020b,Bridge,SHADIPUR BOX CULVERT,23.63380522,90.597394085,10.4,Box Culvert,B
N1,LRP020c,Link,Bridge end,23.6335552,90.5976941,82.00000000000074,Bridge,
N1,LRP021,Link,Km post missing,23.6330549,90.59827740000001,975.0000000000014,KmPost,
N1,LRP021a,Link,Box culvert,23.6262771,90.60422220000001,129.999999999999,Culvert,
N1,LRP021c,Bridge,Marikhali Bridge(L),23.6284668507692,90.6023015723077,86.92,PC Girder Bridge,A
N1,LRP022,Link,"Ctg 238 km,Comilla 71 km",23.625221600000003,90.6049722,135.99999999999923,KmPost,
N1,LRP022a,Bridge,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,5.5,Box Culvert,B
N1,LRP022a,Link,Bridge start,23.624221600000002,90.60552779999999,228.00000000000153,Bridge,
N1,LRP022b,Link,Bridge end,23.6224993,90.6066944,258.9999999999968,Bridge,
N1,LRP022c,Link,Bridge start,23.620471600000002,90.6079722,122.00000000000344,Bridge,
N1,LRP022d,Link,Bridge end,23.6195271,90.60858329999999,254.999999999999,Bridge,
N1,LRP023,Link,Km post missing,23.6173604,90.6096944,934.9999999999987,KmPost,
N1,LRP023a,Bridge,ASHIR CHAR (Right),23.6176407964705,90.6095506105882,224.8,PC Girder Bridge,A
N1,LRP023a,Link,Meghna  bridge,23.6095556,90.6121944,65.00000000000128,Bridge,
N1,LRP023c,Bridge,ASHIR CHAR (R),23.613587384385,90.6109029561497,116.8,PC Girder Bridge,B
N1,LRP024,Link,Km post missing,23.609,90.61247220000001,873.9999999999987,KmPost,
N1,LRP024a,Bridge,MEGHNA BRIDGE,23.6027595885583,90.6155316965675,900.0,PC Box,C
N1,LRP024a,Link,Bridge end,23.6018611,90.6159722,126.00000000000122,Bridge,
N1,LRP025,Link,Km post missing,23.6009444,90.6165556,1000.0,KmPost,
N1,LRP026,Link,Km post missing,23.5959997,90.624666,9.99999999999801,KmPost,
N1,LRP026a,Bridge,TATULTALA CULVERT,23.5929818827893,90.6279699370919,5.6,Box Culvert,A
N1,LRP026a,Link,Box culvert,23.5959441,90.6246938,674.0000000000031,Culvert,
N1,LRP026b,Bridge,BAILAKANDI CULVERT,23.5908088547468,90.6302368598101,5.5,Box Culvert,A
N1,LRP026b,Link,Box culvert,23.5917497,90.6293327,315.999999999999,Culvert,
N1,LRP027,Link,Km post missing,23.5896108,90.6313882,873.9999999999987,KmPost,
N1,LRP027a,Bridge,MALUAKANDI CULVEDRT,23.58631812254,90.6345094207093,5.6,Box Culvert,A
N1,LRP027a,Link,Bridge start,23.583749700000002,90.6369441,126.00000000000122,Bridge,
N1,LRP028,Link,Km post missing,23.582832699999997,90.6378886,39.00000000000148,KmPost,
N1,LRP028a,Bridge,BHATIR CHAR BRIDGE,23.5779800248475,90.6419193089939,163.5,PC Girder Bridge,A
N1,LRP028a,Link,Bridge end,23.5825827,90.63813859999999,655.9999999999989,Bridge,
N1,LRP028b,Link,Bridge start,23.577916000000002,90.6419719,39.00000000000148,Bridge,
N1,LRP028c,Link,Bridge end,23.577610399999998,90.6421108,395.99999999999727,Bridge,
N1,LRP029,Link,Information missing,23.5745271,90.6436941,307.99999999999625,KmPost,
N1,LRP029a,Link,Bridge start,23.572166,90.6451108,46.00000000000648,Bridge,
N1,LRP029a,Bridge,ANAR PURA BRIDGE(L),23.5716306256965,90.6454159236842,29.0,PC Girder Bridge,A
N1,LRP029b,Link,Bridge end,23.571832699999998,90.6453052,645.9999999999973,Bridge,
N1,LRP030,Link,Km post missing,23.5666111,90.6481663,367.9999999999985,KmPost,
N1,LRP030a,Bridge,VITIKANDA - ANAR PUR CULVERT,23.5660033956521,90.6486237247282,34.7,Box Culvert,A
N1,LRP030a,Link,Bridge start,23.5639167,90.6501944,38.000000000000256,Bridge,
N1,LRP030b,Link,Bridge end,23.5636944,90.65047220000001,532.0,Bridge,
N1,LRP030c,Link,Bridge start,23.560416699999998,90.6542222,38.000000000000256,Bridge,
N1,LRP030d,Link,Bridge end,23.5602222,90.6545,39.00000000000148,Bridge,
N1,LRP031,Link,"Ctg 229 km,Comilla 62 km",23.559972199999997,90.6548056,161.99999999999903,KmPost,
N1,LRP031a,Link,Road to Gazara (Z1063),23.559027800000003,90.6559444,412.0000000000026,"SideRoad,Right",
N1,LRP031a,Bridge,Alipur bridge(R),23.5591910296296,90.6557475703703,27.4,PC Girder Bridge,A
N1,LRP031b,Link,Bridge start,23.5564444,90.6588611,39.99999999999915,Bridge,
N1,LRP031c,Link,Bridge end,23.556222199999997,90.6591389,394.99999999999955,Bridge,
N1,LRP032,Link,"Ctg 228 km,Comilla 61 km",23.5538056,90.66197220000001,241.99999999999733,KmPost,
N1,LRP032a,Bridge,Bhaber char Bridge(R),23.5557082901265,90.6597414245569,29.85,PC Girder Bridge,A
N1,LRP032a,Link,Box culvert,23.5523333,90.66366670000001,582.0000000000007,Culvert,
N1,LRP032d,Bridge,BOBAIRCHAR BRIDGE(R),23.5517421907216,90.6643538752577,28.9,PC Girder Bridge,A
N1,LRP033,Link,"Ctg 227 km,Comilla 60 km",23.548749700000002,90.6678327,223.99999999999665,KmPost,
N1,LRP033a,Bridge,PURRANBUICHE BOX CULVERT,23.5477377446428,90.6690554098214,9.1,Box Culvert,A
N1,LRP033a,Link,Bridge start,23.5474163,90.6694438,77.00000000000529,Bridge,
N1,LRP033b,Link,Bridge end,23.5469441,90.6699993,442.99999999999784,Bridge,
N1,LRP033b,Bridge,NOYAPARA,23.5476246437499,90.669192065625,5.2,Box Culvert,A
N1,LRP033c,Link,Box culvert,23.544221899999997,90.6731104,256.0000000000002,Culvert,
N1,LRP034,Link,Km post missing,23.542583,90.6749438,1000.0,KmPost,
N1,LRP034a,Bridge,MADHAYA BAUSHIA(L),23.54268543125,90.6748292125,70.0,PC Girder Bridge,A
N1,LRP034c,Bridge,BOCTAR KANDI BOX CULVERT,23.5393910168,90.6784577888,5.1,Box Culvert,C
N1,LRP035,Link,Km post missing,23.5362497,90.681916,33.99999999999892,KmPost,
N1,LRP035a,Bridge,.,23.5327751898617,90.6858701078341,9.5,Box Culvert,A
N1,LRP035a,Link,Bridge start,23.536082999999998,90.6821382,39.99999999999915,Bridge,
N1,LRP035b,Link,Bridge end,23.535860800000002,90.68236040000001,274.9999999999986,Bridge,
N1,LRP035c,Link,Box culvert,23.534138600000002,90.6843052,651.0000000000034,Culvert,
N1,LRP036,Link,Km post missing,23.5301938,90.688833,664.0000000000015,KmPost,
N1,LRP036a,Bridge,Baushia bazar Bridge( L ),23.5313996605222,90.68744892596,25.45,PC Girder Bridge,A
N1,LRP036a,Link,Daudkandi bridge,23.529916,90.6952219,335.9999999999985,Bridge,
