road,id,lrp,model_type,name,lat,lon,length,type,condition,traffic_density
N1,0,LRPS,SourceSink,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,814.0,Others,,7169.753692853377
N1,1,LRPSa,Link,Box Culvert,23.7029167,90.4504167,8.000000000000007,Culvert,,
N1,2,LRPSb,Link,Intersection with Z1101,23.7027778,90.45047220000001,177.9999999999999,CrossRoad,,
N1,3,LRP001,Link,Km post missing,23.7021389,90.4519722,1000.0,KmPost,,
N1,4,LRP001a,Bridge,.,23.69873866,90.4588610799999,11.3,Box Culvert,A,
N1,5,LRP002,Link,Km post missing,23.6978886,90.4605833,129.9999999999999,KmPost,,
N1,6,LRP002a,Link,Box culvert,23.6973608,90.4616667,870.0000000000001,Culvert,,
N1,7,LRP003,Link,Km post missing,23.693833,90.4691382,1000.0,KmPost,,
N1,8,LRP004,Link,Km post missing,23.6936108,90.4787771,174.9999999999998,KmPost,,
N1,9,LRP004a,Link,Road to Narayanganj(R111),23.6938052,90.48052709999999,825.0000000000002,"SideRoad,Right",,
N1,10,LRP004b,Bridge,.,23.6946638363636,90.4877749181818,6.6,Box Culvert,A,
N1,11,LRP005,Link,Km post missing,23.6947497,90.48849969999999,1000.0,KmPost,,
N1,12,LRP006,Link,Km post missing,23.6959163,90.49819409999999,1000.0,KmPost,,
N1,13,LRP007,Link,Km post missing,23.697333,90.50775,181.0000000000001,KmPost,,
N1,14,LRP007a,Link,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.50927779999999,819.0,CrossRoad,,
N1,15,LRP008,Link,Km post missing,23.7020556,90.51572220000001,11.00000000000101,KmPost,,
N1,16,LRP008a,Link,Kachpur bridge,23.7021111,90.5157778,417.9999999999993,Bridge,,
N1,17,LRP008b,Bridge,KANCHPUR PC GIRDER BRIDGE,23.7050598925675,90.5232141463513,397.0,PC Girder Bridge,C,
N1,18,LRP008b,Link,Bridge end,23.7045833,90.5188327,73.99999999999984,Bridge,,
N1,19,LRP009,SourceSink,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,259.9999999999998,KmPost,,8867.986826972314
N1,20,LRP009a,Intersection,Road to Sylhet (N2),23.7060833,90.5215271,740.0000000000002,"SideRoad,Left",,
N1,21,LRP010,Link,Km post missing,23.7025278,90.5273882,112.0000000000001,KmPost,,
N1,22,LRP010a,Link,Box culvert,23.7015278,90.5281938,347.999999999999,Culvert,,
N1,23,LRP010a,Bridge,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,8.0,Box Culvert,B,
N1,24,LRP010b,Bridge,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,6.3,Box Culvert,A,
N1,25,LRP010b,Link,Box culvert,23.6998608,90.53072159999999,414.0000000000015,Culvert,,
N1,26,LRP010c,Bridge,ADUPUR CULVERT,23.6943023869158,90.5377073719626,6.3,Box Culvert,A,
N1,27,LRP010c,Link,Box culvert,23.6974163,90.5337774,125.9999999999994,Culvert,,
